Sub_BART_1 , submitted
Sub_BART_2 , submitted
Sub_BART_3 , submitted
Sub_BART_4 , submitted
Sub_BART_5 , submitted
Sub_BART_6 , submitted
Sub_BART_7 , submitted
Sub_BART_8 , submitted
Sub_BART_9 , submitted
Sub_BART_10 , submitted
Sub_BART_6 , finished
Sub_BART_7 , finished
Sub_BART_11 , submitted
Sub_BART_12 , submitted
Sub_BART_5 , finished
Sub_BART_13 , submitted
Sub_BART_1 , finished
Sub_BART_14 , submitted
Sub_BART_4 , finished
Sub_BART_15 , submitted
Sub_BART_3 , finished
Sub_BART_16 , submitted
Sub_BART_10 , finished
Sub_BART_17 , submitted
Sub_BART_9 , finished
Sub_BART_18 , submitted
Sub_BART_8 , finished
Sub_BART_19 , submitted
Sub_BART_2 , finished
Sub_BART_20 , submitted
Sub_BART_12 , finished
Sub_BART_21 , submitted
Sub_BART_16 , finished
Sub_BART_17 , finished
Sub_BART_22 , submitted
Sub_BART_23 , submitted
Sub_BART_13 , finished
Sub_BART_24 , submitted
Sub_BART_14 , finished
Sub_BART_15 , finished
Sub_BART_25 , submitted
Sub_BART_26 , submitted
Sub_BART_11 , finished
Sub_BART_27 , submitted
Sub_BART_18 , finished
Sub_BART_28 , submitted
Sub_BART_19 , finished
Sub_BART_29 , submitted
Sub_BART_20 , finished
Sub_BART_30 , submitted
Sub_BART_25 , finished
Sub_BART_31 , submitted
Sub_BART_31 , finished
Sub_BART_32 , submitted
Sub_BART_32 , finished
Sub_BART_33 , submitted
Sub_BART_33 , finished
Sub_BART_34 , submitted
Sub_BART_34 , finished
Sub_BART_35 , submitted
Sub_BART_35 , finished
Sub_BART_36 , submitted
Sub_BART_36 , finished
Sub_BART_37 , submitted
Sub_BART_37 , finished
Sub_BART_38 , submitted
Sub_BART_38 , finished
Sub_BART_39 , submitted
Sub_BART_39 , finished
Sub_BART_40 , submitted
Sub_BART_40 , finished
Sub_BART_41 , submitted
Sub_BART_28 , finished
Sub_BART_42 , submitted
Sub_BART_41 , finished
Sub_BART_43 , submitted
Sub_BART_42 , finished
Sub_BART_44 , submitted
Sub_BART_43 , finished
Sub_BART_45 , submitted
Sub_BART_44 , finished
Sub_BART_46 , submitted
Sub_BART_45 , finished
Sub_BART_47 , submitted
Sub_BART_46 , finished
Sub_BART_48 , submitted
Sub_BART_47 , finished
Sub_BART_49 , submitted
Sub_BART_48 , finished
Sub_BART_50 , submitted
Sub_BART_22 , finished
Sub_BART_51 , submitted
Sub_BART_49 , finished
Sub_BART_52 , submitted
Sub_BART_21 , finished
Sub_BART_23 , finished
Sub_BART_30 , finished
Sub_BART_53 , submitted
Sub_BART_54 , submitted
Sub_BART_55 , submitted
Sub_BART_27 , finished
Sub_BART_56 , submitted
Sub_BART_50 , finished
Sub_BART_57 , submitted
Sub_BART_51 , finished
Sub_BART_58 , submitted
Sub_BART_56 , finished
Sub_BART_59 , submitted
Sub_BART_55 , finished
Sub_BART_60 , submitted
Sub_BART_53 , finished
Sub_BART_61 , submitted
Sub_BART_52 , finished
Sub_BART_62 , submitted
Sub_BART_57 , finished
Sub_BART_63 , submitted
Sub_BART_58 , finished
Sub_BART_64 , submitted
Sub_BART_60 , finished
Sub_BART_65 , submitted
Sub_BART_59 , finished
Sub_BART_66 , submitted
Sub_BART_61 , finished
Sub_BART_67 , submitted
Sub_BART_62 , finished
Sub_BART_68 , submitted
Sub_BART_64 , finished
Sub_BART_69 , submitted
Sub_BART_63 , finished
Sub_BART_70 , submitted
Sub_BART_65 , finished
Sub_BART_71 , submitted
Sub_BART_67 , finished
Sub_BART_72 , submitted
Sub_BART_66 , finished
Sub_BART_73 , submitted
Sub_BART_68 , finished
Sub_BART_74 , submitted
Sub_BART_69 , finished
Sub_BART_75 , submitted
Sub_BART_70 , finished
Sub_BART_76 , submitted
Sub_BART_71 , finished
Sub_BART_77 , submitted
Sub_BART_73 , finished
Sub_BART_74 , finished
Sub_BART_78 , submitted
Sub_BART_79 , submitted
Sub_BART_72 , finished
Sub_BART_80 , submitted
Sub_BART_75 , finished
Sub_BART_81 , submitted
Sub_BART_76 , finished
Sub_BART_82 , submitted
Sub_BART_77 , finished
Sub_BART_83 , submitted
Sub_BART_79 , finished
Sub_BART_84 , submitted
Sub_BART_80 , finished
Sub_BART_85 , submitted
Sub_BART_78 , finished
Sub_BART_86 , submitted
Sub_BART_81 , finished
Sub_BART_87 , submitted
Sub_BART_82 , finished
Sub_BART_88 , submitted
Sub_BART_83 , finished
Sub_BART_89 , submitted
Sub_BART_85 , finished
Sub_BART_90 , submitted
Sub_BART_84 , finished
Sub_BART_86 , finished
Sub_BART_91 , submitted
Sub_BART_92 , submitted
Sub_BART_87 , finished
Sub_BART_93 , submitted
Sub_BART_88 , finished
Sub_BART_94 , submitted
Sub_BART_89 , finished
Sub_BART_95 , submitted
Sub_BART_90 , finished
Sub_BART_96 , submitted
Sub_BART_92 , finished
Sub_BART_97 , submitted
Sub_BART_91 , finished
Sub_BART_98 , submitted
Sub_BART_93 , finished
Sub_BART_99 , submitted
Sub_BART_95 , finished
Sub_BART_100 , submitted
Sub_BART_94 , finished
Sub_BART_101 , submitted
Sub_BART_96 , finished
Sub_BART_102 , submitted
Sub_BART_97 , finished
Sub_BART_103 , submitted
Sub_BART_98 , finished
Sub_BART_104 , submitted
Sub_BART_99 , finished
Sub_BART_105 , submitted
Sub_BART_100 , finished
Sub_BART_106 , submitted
Sub_BART_101 , finished
Sub_BART_107 , submitted
Sub_BART_102 , finished
Sub_BART_108 , submitted
Sub_BART_104 , finished
Sub_BART_109 , submitted
Sub_BART_103 , finished
Sub_BART_110 , submitted
Sub_BART_105 , finished
Sub_BART_111 , submitted
Sub_BART_106 , finished
Sub_BART_112 , submitted
Sub_BART_107 , finished
Sub_BART_113 , submitted
Sub_BART_108 , finished
Sub_BART_114 , submitted
Sub_BART_109 , finished
Sub_BART_115 , submitted
Sub_BART_110 , finished
Sub_BART_116 , submitted
Sub_BART_111 , finished
Sub_BART_117 , submitted
Sub_BART_112 , finished
Sub_BART_118 , submitted
Sub_BART_113 , finished
Sub_BART_119 , submitted
Sub_BART_114 , finished
Sub_BART_120 , submitted
Sub_BART_115 , finished
Sub_BART_121 , submitted
Sub_BART_116 , finished
Sub_BART_122 , submitted
Sub_BART_117 , finished
Sub_BART_123 , submitted
Sub_BART_119 , finished
Sub_BART_124 , submitted
Sub_BART_118 , finished
Sub_BART_125 , submitted
Sub_BART_120 , finished
Sub_BART_126 , submitted
Sub_BART_121 , finished
Sub_BART_127 , submitted
Sub_BART_122 , finished
Sub_BART_128 , submitted
Sub_BART_123 , finished
Sub_BART_129 , submitted
Sub_BART_126 , finished
Sub_BART_130 , submitted
Sub_BART_124 , finished
Sub_BART_131 , submitted
Sub_BART_125 , finished
Sub_BART_132 , submitted
Sub_BART_128 , finished
Sub_BART_133 , submitted
Sub_BART_127 , finished
Sub_BART_134 , submitted
Sub_BART_129 , finished
Sub_BART_135 , submitted
Sub_BART_130 , finished
Sub_BART_136 , submitted
Sub_BART_131 , finished
Sub_BART_137 , submitted
Sub_BART_132 , finished
Sub_BART_138 , submitted
Sub_BART_135 , finished
Sub_BART_139 , submitted
Sub_BART_133 , finished
Sub_BART_140 , submitted
Sub_BART_134 , finished
Sub_BART_141 , submitted
Sub_BART_136 , finished
Sub_BART_142 , submitted
Sub_BART_137 , finished
Sub_BART_138 , finished
Sub_BART_143 , submitted
Sub_BART_144 , submitted
Sub_BART_141 , finished
Sub_BART_145 , submitted
Sub_BART_139 , finished
Sub_BART_146 , submitted
Sub_BART_140 , finished
Sub_BART_147 , submitted
Sub_BART_142 , finished
Sub_BART_148 , submitted
Sub_BART_144 , finished
Sub_BART_149 , submitted
Sub_BART_143 , finished
Sub_BART_150 , submitted
Sub_BART_145 , finished
Sub_BART_147 , finished
Sub_BART_151 , submitted
Sub_BART_152 , submitted
Sub_BART_146 , finished
Sub_BART_153 , submitted
Sub_BART_148 , finished
Sub_BART_154 , submitted
Sub_BART_149 , finished
Sub_BART_150 , finished
Sub_BART_155 , submitted
Sub_BART_156 , submitted
Sub_BART_153 , finished
Sub_BART_157 , submitted
Sub_BART_151 , finished
Sub_BART_152 , finished
Sub_BART_158 , submitted
Sub_BART_159 , submitted
Sub_BART_154 , finished
Sub_BART_160 , submitted
Sub_BART_156 , finished
Sub_BART_161 , submitted
Sub_BART_155 , finished
Sub_BART_162 , submitted
Sub_BART_157 , finished
Sub_BART_163 , submitted
Sub_BART_159 , finished
Sub_BART_164 , submitted
Sub_BART_158 , finished
Sub_BART_165 , submitted
Sub_BART_160 , finished
Sub_BART_166 , submitted
Sub_BART_161 , finished
Sub_BART_167 , submitted
Sub_BART_162 , finished
Sub_BART_168 , submitted
Sub_BART_164 , finished
Sub_BART_169 , submitted
Sub_BART_163 , finished
Sub_BART_170 , submitted
Sub_BART_165 , finished
Sub_BART_171 , submitted
Sub_BART_166 , finished
Sub_BART_172 , submitted
Sub_BART_167 , finished
Sub_BART_173 , submitted
Sub_BART_168 , finished
Sub_BART_174 , submitted
Sub_BART_169 , finished
Sub_BART_175 , submitted
Sub_BART_171 , finished
Sub_BART_176 , submitted
Sub_BART_170 , finished
Sub_BART_177 , submitted
Sub_BART_172 , finished
Sub_BART_178 , submitted
Sub_BART_173 , finished
Sub_BART_179 , submitted
Sub_BART_174 , finished
Sub_BART_180 , submitted
Sub_BART_176 , finished
Sub_BART_181 , submitted
Sub_BART_175 , finished
Sub_BART_182 , submitted
Sub_BART_177 , finished
Sub_BART_183 , submitted
Sub_BART_178 , finished
Sub_BART_184 , submitted
Sub_BART_179 , finished
Sub_BART_180 , finished
Sub_BART_185 , submitted
Sub_BART_186 , submitted
Sub_BART_181 , finished
Sub_BART_182 , finished
Sub_BART_187 , submitted
Sub_BART_188 , submitted
Sub_BART_183 , finished
Sub_BART_189 , submitted
Sub_BART_184 , finished
Sub_BART_190 , submitted
Sub_BART_185 , finished
Sub_BART_191 , submitted
Sub_BART_186 , finished
Sub_BART_192 , submitted
Sub_BART_188 , finished
Sub_BART_193 , submitted
Sub_BART_187 , finished
Sub_BART_194 , submitted
Sub_BART_189 , finished
Sub_BART_195 , submitted
Sub_BART_190 , finished
Sub_BART_196 , submitted
Sub_BART_191 , finished
Sub_BART_192 , finished
Sub_BART_197 , submitted
Sub_BART_198 , submitted
Sub_BART_193 , finished
Sub_BART_199 , submitted
Sub_BART_195 , finished
Sub_BART_200 , submitted
Sub_BART_194 , finished
Sub_BART_196 , finished
Sub_BART_201 , submitted
Sub_BART_202 , submitted
Sub_BART_198 , finished
Sub_BART_203 , submitted
Sub_BART_197 , finished
Sub_BART_204 , submitted
Sub_BART_200 , finished
Sub_BART_201 , finished
Sub_BART_202 , finished
Sub_BART_205 , submitted
Sub_BART_206 , submitted
Sub_BART_207 , submitted
Sub_BART_199 , finished
Sub_BART_208 , submitted
Sub_BART_203 , finished
Sub_BART_209 , submitted
Sub_BART_204 , finished
Sub_BART_210 , submitted
Sub_BART_205 , finished
Sub_BART_208 , finished
Sub_BART_211 , submitted
Sub_BART_212 , submitted
Sub_BART_206 , finished
Sub_BART_207 , finished
Sub_BART_213 , submitted
Sub_BART_214 , submitted
Sub_BART_209 , finished
Sub_BART_215 , submitted
Sub_BART_210 , finished
Sub_BART_216 , submitted
Sub_BART_211 , finished
Sub_BART_217 , submitted
Sub_BART_212 , finished
Sub_BART_214 , finished
Sub_BART_218 , submitted
Sub_BART_219 , submitted
Sub_BART_213 , finished
Sub_BART_220 , submitted
Sub_BART_216 , finished
Sub_BART_221 , submitted
Sub_BART_215 , finished
Sub_BART_222 , submitted
Sub_BART_217 , finished
Sub_BART_223 , submitted
Sub_BART_219 , finished
Sub_BART_224 , submitted
Sub_BART_218 , finished
Sub_BART_225 , submitted
Sub_BART_220 , finished
Sub_BART_226 , submitted
Sub_BART_222 , finished
Sub_BART_227 , submitted
Sub_BART_221 , finished
Sub_BART_228 , submitted
Sub_BART_224 , finished
Sub_BART_229 , submitted
Sub_BART_223 , finished
Sub_BART_230 , submitted
Sub_BART_226 , finished
Sub_BART_231 , submitted
Sub_BART_225 , finished
Sub_BART_232 , submitted
Sub_BART_227 , finished
Sub_BART_233 , submitted
Sub_BART_228 , finished
Sub_BART_234 , submitted
Sub_BART_229 , finished
Sub_BART_235 , submitted
Sub_BART_230 , finished
Sub_BART_236 , submitted
Sub_BART_232 , finished
Sub_BART_237 , submitted
Sub_BART_231 , finished
Sub_BART_238 , submitted
Sub_BART_233 , finished
Sub_BART_234 , finished
Sub_BART_239 , submitted
Sub_BART_240 , submitted
Sub_BART_235 , finished
Sub_BART_241 , submitted
Sub_BART_236 , finished
Sub_BART_242 , submitted
Sub_BART_237 , finished
Sub_BART_243 , submitted
Sub_BART_238 , finished
Sub_BART_244 , submitted
Sub_BART_239 , finished
Sub_BART_240 , finished
Sub_BART_245 , submitted
Sub_BART_246 , submitted
Sub_BART_241 , finished
Sub_BART_247 , submitted
Sub_BART_242 , finished
Sub_BART_248 , submitted
Sub_BART_243 , finished
Sub_BART_249 , submitted
Sub_BART_244 , finished
Sub_BART_250 , submitted
Sub_BART_246 , finished
Sub_BART_251 , submitted
Sub_BART_245 , finished
Sub_BART_252 , submitted
Sub_BART_247 , finished
Sub_BART_253 , submitted
Sub_BART_248 , finished
Sub_BART_254 , submitted
Sub_BART_250 , finished
Sub_BART_255 , submitted
Sub_BART_249 , finished
Sub_BART_256 , submitted
Sub_BART_251 , finished
Sub_BART_257 , submitted
Sub_BART_252 , finished
Sub_BART_258 , submitted
Sub_BART_253 , finished
Sub_BART_259 , submitted
Sub_BART_254 , finished
Sub_BART_260 , submitted
Sub_BART_255 , finished
Sub_BART_261 , submitted
Sub_BART_257 , finished
Sub_BART_262 , submitted
Sub_BART_258 , finished
Sub_BART_263 , submitted
Sub_BART_256 , finished
Sub_BART_264 , submitted
Sub_BART_260 , finished
Sub_BART_265 , submitted
Sub_BART_259 , finished
Sub_BART_266 , submitted
Sub_BART_261 , finished
Sub_BART_267 , submitted
Sub_BART_262 , finished
Sub_BART_268 , submitted
Sub_BART_264 , finished
Sub_BART_269 , submitted
Sub_BART_263 , finished
Sub_BART_270 , submitted
Sub_BART_266 , finished
Sub_BART_271 , submitted
Sub_BART_265 , finished
Sub_BART_272 , submitted
Sub_BART_267 , finished
Sub_BART_273 , submitted
Sub_BART_268 , finished
Sub_BART_274 , submitted
Sub_BART_269 , finished
Sub_BART_270 , finished
Sub_BART_275 , submitted
Sub_BART_276 , submitted
Sub_BART_271 , finished
Sub_BART_277 , submitted
Sub_BART_272 , finished
Sub_BART_278 , submitted
Sub_BART_273 , finished
Sub_BART_279 , submitted
Sub_BART_274 , finished
Sub_BART_280 , submitted
Sub_BART_275 , finished
Sub_BART_281 , submitted
Sub_BART_276 , finished
Sub_BART_282 , submitted
Sub_BART_279 , finished
Sub_BART_283 , submitted
Sub_BART_277 , finished
Sub_BART_278 , finished
Sub_BART_284 , submitted
Sub_BART_285 , submitted
Sub_BART_280 , finished
Sub_BART_286 , submitted
Sub_BART_282 , finished
Sub_BART_287 , submitted
Sub_BART_281 , finished
Sub_BART_288 , submitted
Sub_BART_285 , finished
Sub_BART_289 , submitted
Sub_BART_283 , finished
Sub_BART_290 , submitted
Sub_BART_284 , finished
Sub_BART_291 , submitted
Sub_BART_286 , finished
Sub_BART_292 , submitted
Sub_BART_288 , finished
Sub_BART_293 , submitted
Sub_BART_287 , finished
Sub_BART_294 , submitted
Sub_BART_289 , finished
Sub_BART_295 , submitted
Sub_BART_290 , finished
Sub_BART_291 , finished
Sub_BART_296 , submitted
Sub_BART_297 , submitted
Sub_BART_292 , finished
Sub_BART_294 , finished
Sub_BART_298 , submitted
Sub_BART_299 , submitted
Sub_BART_293 , finished
Sub_BART_300 , submitted
Sub_BART_295 , finished
Sub_BART_296 , finished
Sub_BART_301 , submitted
Sub_BART_302 , submitted
Sub_BART_297 , finished
Sub_BART_303 , submitted
Sub_BART_299 , finished
Sub_BART_304 , submitted
Sub_BART_298 , finished
Sub_BART_305 , submitted
Sub_BART_300 , finished
Sub_BART_306 , submitted
Sub_BART_302 , finished
Sub_BART_307 , submitted
Sub_BART_301 , finished
Sub_BART_308 , submitted
Sub_BART_303 , finished
Sub_BART_309 , submitted
Sub_BART_305 , finished
Sub_BART_310 , submitted
Sub_BART_306 , finished
Sub_BART_311 , submitted
Sub_BART_304 , finished
Sub_BART_312 , submitted
Sub_BART_307 , finished
Sub_BART_313 , submitted
Sub_BART_308 , finished
Sub_BART_309 , finished
Sub_BART_314 , submitted
Sub_BART_315 , submitted
Sub_BART_311 , finished
Sub_BART_316 , submitted
Sub_BART_312 , finished
Sub_BART_317 , submitted
Sub_BART_310 , finished
Sub_BART_318 , submitted
Sub_BART_313 , finished
Sub_BART_319 , submitted
Sub_BART_315 , finished
Sub_BART_320 , submitted
Sub_BART_314 , finished
Sub_BART_321 , submitted
Sub_BART_317 , finished
Sub_BART_322 , submitted
Sub_BART_316 , finished
Sub_BART_323 , submitted
Sub_BART_318 , finished
Sub_BART_324 , submitted
Sub_BART_319 , finished
Sub_BART_321 , finished
Sub_BART_325 , submitted
Sub_BART_326 , submitted
Sub_BART_320 , finished
Sub_BART_327 , submitted
Sub_BART_323 , finished
Sub_BART_328 , submitted
Sub_BART_322 , finished
Sub_BART_329 , submitted
Sub_BART_324 , finished
Sub_BART_330 , submitted
Sub_BART_325 , finished
Sub_BART_331 , submitted
Sub_BART_326 , finished
Sub_BART_332 , submitted
Sub_BART_327 , finished
Sub_BART_333 , submitted
Sub_BART_328 , finished
Sub_BART_334 , submitted
Sub_BART_329 , finished
Sub_BART_335 , submitted
Sub_BART_330 , finished
Sub_BART_336 , submitted
Sub_BART_331 , finished
Sub_BART_337 , submitted
Sub_BART_332 , finished
Sub_BART_333 , finished
Sub_BART_338 , submitted
Sub_BART_339 , submitted
Sub_BART_334 , finished
Sub_BART_340 , submitted
Sub_BART_335 , finished
Sub_BART_341 , submitted
Sub_BART_336 , finished
Sub_BART_342 , submitted
Sub_BART_337 , finished
Sub_BART_343 , submitted
Sub_BART_338 , finished
Sub_BART_339 , finished
Sub_BART_340 , finished
Sub_BART_341 , finished
Sub_BART_342 , finished
Sub_BART_343 , finished
